iter	Passed	Remaining
0	2400	2398428
1	4488	2239757
2	6742	2240631
3	8987	2237851
4	10102	2010489
5	12022	1991732
6	14110	2001740
7	16160	2003863
8	18292	2014244
9	20279	2007634
10	22361	2010471
11	24644	2029077
12	26469	2009681
13	27786	1956998
14	29510	1937868
15	31717	1950629
16	34105	1972123
17	36519	1992314
18	39362	2032345
19	41918	2053995
20	44590	2078770
21	46609	2072015
22	49303	2094321
23	50546	2055546
24	53330	2079870
25	56124	2102498
26	58462	2106827
27	60587	2103252
28	62616	2096582
29	65472	2116955
30	67250	2102122
31	70227	2124370
32	72325	2119357
33	74673	2121602
34	76507	2109409
35	78642	2105883
36	81591	2123574
37	83827	2122170
38	86195	2123944
39	88086	2114067
40	90533	2117589
41	92814	2117054
42	94720	2108074
43	97260	2113196
44	99734	2116579
45	102306	2121744
46	104976	2128556
47	107044	2123056
48	109526	2125701
49	111630	2120985
50	113899	2119415
51	116542	2124661
52	118887	2124280
53	121600	2130264
54	123573	2123214
55	126312	2129271
56	129389	2140601
57	131279	2132159
58	134068	2138283
59	136053	2131505
60	138640	2134160
61	141148	2135434
62	144161	2144112
63	147239	2153372
64	149318	2147888
65	151335	2141625
66	153649	2139631
67	156063	2138992
68	159141	2147259
69	161202	2141684
70	163297	2136662
71	165210	2129378
72	167827	2131180
73	170023	2127594
74	172395	2126213
75	174607	2122855
76	176730	2118471
77	179595	2122911
78	182075	2122679
79	185138	2129089
80	187937	2132278
81	190019	2127286
82	193018	2132508
83	195558	2132521
84	198090	2132389
85	200080	2126432
86	203129	2131689
87	205301	2127674
88	208273	2131881
89	211073	2134184
90	213528	2132936
91	215818	2130034
92	218511	2131070
93	220820	2128337
94	223340	2127612
95	226426	2132179
96	228470	2126894
97	230468	2121252
98	232673	2117562
99	235792	2122131
100	237921	2117734
101	240666	2118811
102	242953	2115819
103	245055	2111243
104	247600	2110503
105	249782	2106652
106	252924	2110857
107	255602	2111084
108	258179	2110438
109	260194	2105212
110	262462	2102060
111	264401	2096327
112	267207	2097460
113	269003	2090673
114	271555	2089800
115	273849	2086922
116	276373	2085795
117	278416	2081041
118	281310	2082641
119	283693	2080415
120	285775	2076002
121	287811	2071296
122	289903	2067037
123	292317	2065081
124	294787	2063513
125	296859	2059165
126	299346	2057712
127	301245	2052233
128	303222	2047339
129	305341	2043439
130	307533	2040048
131	310335	2040687
132	312789	2039011
133	315965	2041986
134	318072	2038018
135	320992	2039245
136	323487	2037732
137	325509	2033253
138	327937	2031327
139	329901	2026538
140	332034	2022817
141	334629	2021914
142	336785	2018356
143	339129	2015937
144	341254	2012226
145	343608	2009875
146	346758	2012141
147	350129	2015610
148	352066	2010796
149	354463	2008626
150	357310	2008984
151	359633	2006377
152	362317	2005773
153	365679	2008863
154	367711	2004620
155	370581	2004941
156	373718	2006654
157	375985	2003671
158	378210	2000473
159	380554	1997913
160	382427	1992900
161	384621	1989585
162	387596	1990295
163	389481	1985405
